date,channelGrouping,userAgeBracket,userType,sessions,transactions
20190309,Direct - Non Paid,45-54,New Visitor,210,3
20190309,Direct - Non Paid,45-54,Returning Visitor,464,8
20190309,Direct - Non Paid,55-64,New Visitor,147,1
20190309,Direct - Non Paid,55-64,Returning Visitor,342,5
20190309,Direct - Non Paid,65+,New Visitor,68,1
20190309,Direct - Non Paid,65+,Returning Visitor,120,3
20190309,Email - Newsletter Franquicias - Non Paid,25-34,New Visitor,11,0
20190309,Email - Newsletter Franquicias - Non Paid,25-34,Returning Visitor,20,0
20190309,Email - Newsletter Franquicias - Non Paid,35-44,Returning Visitor,15,0
20190309,Email - Newsletter Franquicias - Non Paid,55-64,New Visitor,11,0
20190309,Email - Newsletter Franquicias - Non Paid,55-64,Returning Visitor,16,0
20190309,Email - Newsletter Offline - Non Paid,18-24,New Visitor,15,0
20190309,Email - Newsletter Offline - Non Paid,18-24,Returning Visitor,76,1
20190309,Email - Newsletter Offline - Non Paid,25-34,New Visitor,80,1
20190309,Email - Newsletter Offline - Non Paid,25-34,Returning Visitor,487,6
20190309,Email - Newsletter Offline - Non Paid,35-44,New Visitor,107,1
20190309,Email - Newsletter Offline - Non Paid,35-44,Returning Visitor,860,10
20190309,Email - Newsletter Offline - Non Paid,45-54,New Visitor,100,3
20190309,Email - Newsletter Offline - Non Paid,45-54,Returning Visitor,906,8
20190309,Email - Newsletter Offline - Non Paid,55-64,New Visitor,102,0
20190309,Email - Newsletter Offline - Non Paid,55-64,Returning Visitor,730,7
20190309,Email - Newsletter Offline - Non Paid,65+,New Visitor,70,0
20190309,Email - Newsletter Offline - Non Paid,65+,Returning Visitor,473,2
20190309,Email - Newsletter Online - Non Paid,18-24,New Visitor,41,1
20190309,Email - Newsletter Online - Non Paid,18-24,Returning Visitor,154,7
20190309,Email - Newsletter Online - Non Paid,25-34,New Visitor,265,4
20190309,Email - Newsletter Online - Non Paid,25-34,Returning Visitor,1138,21
20190309,Email - Newsletter Online - Non Paid,35-44,New Visitor,316,6
20190309,Email - Newsletter Online - Non Paid,35-44,Returning Visitor,1618,46
20190309,Email - Newsletter Online - Non Paid,45-54,New Visitor,228,6
20190309,Email - Newsletter Online - Non Paid,45-54,Returning Visitor,1271,35
20190309,Email - Newsletter Online - Non Paid,55-64,New Visitor,152,2
20190309,Email - Newsletter Online - Non Paid,55-64,Returning Visitor,1041,22
20190309,Email - Newsletter Online - Non Paid,65+,New Visitor,98,2
20190309,Email - Newsletter Online - Non Paid,65+,Returning Visitor,580,16
20190309,Email - Newsletter Outlet - Non Paid,18-24,Returning Visitor,17,0
20190309,Email - Newsletter Outlet - Non Paid,25-34,New Visitor,26,0
20190309,Email - Newsletter Outlet - Non Paid,25-34,Returning Visitor,79,2
20190309,Email - Newsletter Outlet - Non Paid,35-44,New Visitor,36,0
20190309,Email - Newsletter Outlet - Non Paid,35-44,Returning Visitor,155,0
20190309,Email - Newsletter Outlet - Non Paid,45-54,New Visitor,29,0
20190309,Email - Newsletter Outlet - Non Paid,45-54,Returning Visitor,137,0
20190309,Email - Newsletter Outlet - Non Paid,55-64,New Visitor,28,0
20190309,Email - Newsletter Outlet - Non Paid,55-64,Returning Visitor,78,0
20190309,Email - Newsletter Outlet - Non Paid,65+,New Visitor,14,0
20190309,Email - Newsletter Outlet - Non Paid,65+,Returning Visitor,56,0
20190309,Email - Other - Non Paid,25-34,Returning Visitor,18,1
20190309,Email - Other - Non Paid,35-44,New Visitor,11,0
20190309,Email - Other - Non Paid,35-44,Returning Visitor,23,0
20190309,Email - Other - Non Paid,45-54,Returning Visitor,22,0
20190309,Email - Other - Non Paid,55-64,Returning Visitor,39,0
20190309,Referral - Affiliates - Paid,18-24,New Visitor,21,0
20190309,Referral - Affiliates - Paid,18-24,Returning Visitor,39,2
20190309,Referral - Affiliates - Paid,25-34,New Visitor,149,0
20190309,Referral - Affiliates - Paid,25-34,Returning Visitor,262,11
20190309,Referral - Affiliates - Paid,35-44,New Visitor,228,1
20190309,Referral - Affiliates - Paid,35-44,Returning Visitor,511,11
20190309,Referral - Affiliates - Paid,45-54,New Visitor,282,0
20190309,Referral - Affiliates - Paid,45-54,Returning Visitor,434,10
20190309,Referral - Affiliates - Paid,55-64,New Visitor,216,0
20190309,Referral - Affiliates - Paid,55-64,Returning Visitor,384,7
20190309,Referral - Affiliates - Paid,65+,New Visitor,227,0
20190309,Referral - Affiliates - Paid,65+,Returning Visitor,247,2
20190309,Referral - Other - Non Paid,25-34,New Visitor,26,0
20190309,Referral - Other - Non Paid,25-34,Returning Visitor,19,0
20190309,Referral - Other - Non Paid,35-44,New Visitor,19,0
20190309,Referral - Other - Non Paid,35-44,Returning Visitor,21,1
20190309,Referral - Other - Non Paid,45-54,New Visitor,18,0
20190309,Referral - Other - Non Paid,45-54,Returning Visitor,22,1
20190309,Referral - Other - Non Paid,55-64,New Visitor,11,0
20190309,Referral - Other - Non Paid,55-64,Returning Visitor,11,1
20190309,Search - Branded - Paid,18-24,New Visitor,149,4
20190309,Search - Branded - Paid,18-24,Returning Visitor,164,1
20190309,Search - Branded - Paid,25-34,New Visitor,736,6
20190309,Search - Branded - Paid,25-34,Returning Visitor,1058,21
20190309,Search - Branded - Paid,35-44,New Visitor,807,7
20190309,Search - Branded - Paid,35-44,Returning Visitor,1594,22
20190309,Search - Branded - Paid,45-54,New Visitor,575,2
20190309,Search - Branded - Paid,45-54,Returning Visitor,1064,22
20190309,Search - Branded - Paid,55-64,New Visitor,365,2
20190309,Search - Branded - Paid,55-64,Returning Visitor,711,9
20190309,Search - Branded - Paid,65+,New Visitor,163,2
20190309,Search - Branded - Paid,65+,Returning Visitor,252,1
20190309,Search - SEO - Non Paid,18-24,New Visitor,281,2
20190309,Search - SEO - Non Paid,18-24,Returning Visitor,229,6
20190309,Search - SEO - Non Paid,25-34,New Visitor,1095,9
20190309,Search - SEO - Non Paid,25-34,Returning Visitor,1246,16
20190309,Search - SEO - Non Paid,35-44,New Visitor,1018,9
20190309,Search - SEO - Non Paid,35-44,Returning Visitor,1474,25
20190309,Search - SEO - Non Paid,45-54,New Visitor,677,2
20190309,Search - SEO - Non Paid,45-54,Returning Visitor,995,15
20190309,Search - SEO - Non Paid,55-64,New Visitor,445,4
20190309,Search - SEO - Non Paid,55-64,Returning Visitor,601,9
20190309,Search - SEO - Non Paid,65+,New Visitor,206,1
20190309,Search - SEO - Non Paid,65+,Returning Visitor,256,5
20190309,Search - Shopping - Paid,18-24,New Visitor,18,0
20190309,Search - Shopping - Paid,18-24,Returning Visitor,36,0
20190309,Search - Shopping - Paid,25-34,New Visitor,97,1
20190309,Search - Shopping - Paid,25-34,Returning Visitor,217,2
20190309,Search - Shopping - Paid,35-44,New Visitor,103,0
20190309,Search - Shopping - Paid,35-44,Returning Visitor,363,7
20190309,Search - Shopping - Paid,45-54,New Visitor,75,1
20190309,Search - Shopping - Paid,45-54,Returning Visitor,363,1
20190309,Search - Shopping - Paid,55-64,New Visitor,50,0
20190309,Search - Shopping - Paid,55-64,Returning Visitor,361,1
20190309,Search - Shopping - Paid,65+,New Visitor,39,0
20190309,Search - Shopping - Paid,65+,Returning Visitor,163,0
